word,weight
good, 8439
Chinese, 4592
chicken, 3840
rice, 3115
really, 3059
service, 2823
time, 2820
pretty, 2761
ordered, 2598
order, 2583
soup, 2537
fried, 2432
sauce, 2320
little, 2208
menu, 2173
great, 2150
lunch, 2134
dishes, 2057
better, 1879
noodles, 1828
beef, 1825
dish, 1792
nice, 1718
pork, 1701
bad, 1609
bit, 1586
think, 1567
shrimp, 1548
best, 1389
again, 1367
hot, 1363
though, 1352
well, 1324
spicy, 1302
4, 1297
decent, 1264
after, 1263
over, 1262
price, 1240
meal, 1229
egg, 1224
sum, 1212
give, 1204
want, 1189
stars, 1189
always, 1178
say, 1178
people, 1160
dim, 1144
way, 1119
taste, 1118
flavor, 1108
few, 1104
off, 1100
still, 1087
tasty, 1087
first, 1084
night, 1068
sushi, 1044
dinner, 1040
noodle, 1035
lot, 1033
Asian, 1023
table, 1019
sweet, 1016
around, 1014
two, 1014
went, 1009
Vegas, 1008
right, 1006
down, 992
small, 988
since, 987
definitely, 982
most, 976
ok, 967
fresh, 966
friendly, 957
nothing, 954
chinese, 943
sure, 938
Chicken, 936
special, 929
said, 928
places, 926
prices, 926
probably, 923
meat, 914
times, 895
see, 884
enough, 883
rolls, 875
how, 868
side, 852
buffet, 841
area, 839
dumplings, 828
quite, 826
find, 819
same, 806
tried, 798
quality, 798
fast, 793
okay, 783
average, 773
different, 767
long, 764
staff, 761
wait, 761
thought, 760
quick, 754
cheap, 741
tasted, 734
another, 733
delicious, 733
sour, 732
minutes, 731
roll, 728
experience, 726
I'd, 721
large, 719
big, 707
love, 703
eating, 694
clean, 664
Thai, 663
tea, 660
wanted, 658
kind, 657
usually, 657
looking, 652
last, 647
portions, 626
used, 615
style, 612
home, 607
crab, 600
tofu, 595
away, 590
favorite, 587
star, 580
bowl, 577
inside, 575
worth, 573
location, 568
authentic, 567
found, 562
asked, 560
fish, 549
need, 548
duck, 547
bland, 545
decided, 541
cooked, 540
friend, 540
served, 539
full, 538
Food, 536
new, 536
China, 534
busy, 531
visit, 527
tables, 525
expect, 524
liked, 523
mein, 520
feel, 519
selection, 516
OK, 514
seemed, 508
server, 507
delivery, 502
dining, 501
