word,weight
good, 3661
chicken, 2734
Chinese, 2622
rice, 2036
ordered, 1973
service, 1894
time, 1877
really, 1835
order, 1815
sauce, 1595
better, 1574
because, 1491
fried, 1457
soup, 1413
pretty, 1126
dish, 1126
bad, 1061
menu, 1045
over, 1037
dishes, 1029
great, 1011
wasn't, 1006
taste, 998
noodles, 994
little, 989
beef, 968
after, 949
again, 947
lunch, 931
flavor, 871
pork, 846
try, 846
shrimp, 843
off, 830
people, 803
way, 797
table, 780
nice, 776
hot, 773
minutes, 772
first, 770
down, 767
tasted, 761
best, 757
went, 756
quality, 741
meal, 737
never, 726
4, 714
bland, 707
well, 704
price, 698
ok, 696
few, 682
egg, 677
how, 673
before, 671
asked, 668
still, 660
sum, 654
sweet, 634
stars, 632
dim, 626
small, 620
Asian, 614
same, 612
around, 596
since, 594
though, 590
meat, 588
times, 584
spicy, 584
experience, 577
bit, 571
lot, 569
special, 568
Chicken, 562
sour, 560
rolls, 556
last, 540
decent, 531
wanted, 529
dinner, 526
right, 521
sure, 519
wait, 515
tried, 514
probably, 508
eating, 506
night, 505
Vegas, 503
used, 502
