word,weight
good, 7187
Chinese, 6425
great, 5532
chicken, 4765
service, 3988
time, 3698
best, 3466
always, 3457
rice, 3135
really, 3101
order, 2954
delicious, 2939
love, 2823
fried, 2762
soup, 2702
menu, 2671
try, 2419
ordered, 2286
dishes, 2255
beef, 2220
lunch, 2212
friendly, 2205
sauce, 2196
fresh, 2155
favorite, 2109
well, 2050
nice, 2042
pork, 2018
spicy, 1827
amazing, 1811
noodles, 1809
dish, 1774
hot, 1728
little, 1696
never, 1614
shrimp, 1597
staff, 1597
definitely, 1574
Great, 1540
Vegas, 1533
right, 1449
first, 1437
people, 1386
Chicken, 1385
egg, 1382
recommend, 1348
tried, 1327
meal, 1311
better, 1276
excellent, 1268
price, 1247
dinner, 1239
prices, 1232
over, 1232
family, 1228
sweet, 1227
again, 1218
times, 1202
places, 1197
want, 1193
came, 1189
most, 1181
awesome, 1148
Asian, 1145
find, 1145
tasty, 1133
4, 1131
years, 1114
chinese, 1110
authentic, 1109
dumplings, 1098
new, 1090
off, 1083
since, 1081
sure, 1074
rolls, 1070
wait, 1051
pretty, 1049
two, 1041
down, 1040
still, 1034
fast, 1031
way, 1031
flavor, 1026
taste, 1024
after, 1023
Thai, 1014
quality, 1008
clean, 992
few, 989
experience, 973
noodle, 973
area, 968
give, 963
night, 942
portions, 933
super, 930
tea, 930
meat, 928
perfect, 920
home, 912
around, 907
sushi, 906
lot, 905
enough, 892
worth, 883
before, 871
different, 868
happy, 860
found, 860
table, 860
big, 858
eating, 857
bit, 846
special, 833
town, 811
day, 811
did, 806
small, 805
sour, 799
duck, 798
Food, 792
crispy, 792
see, 790
far, 787
usually, 786
style, 777
crab, 774
sum, 762
delivery, 749
friends, 735
dim, 729
visit, 727
China, 720
large, 719
stars, 714
long, 712
items, 709
Best, 708
full, 705
cooked, 704
tofu, 702
last, 702
must, 702
bad, 699
though, 684
side, 683
huge, 676
orange, 676
Beef, 665
fish, 665
same, 664
Love, 664
owner, 660
top, 640
Service, 638
quick, 632
ask, 629
inside, 628
location, 627
house, 623
reviews, 622
roll, 619
cheap, 619
once, 619
fantastic, 606
loved, 604
spot, 601
away, 594
served, 594
husband, 586
kind, 581
actually, 580
friend, 577
atmosphere, 577
wonderful, 574
minutes, 572
bowl, 571
feel, 555
week, 552
curry, 552
quite, 549
reasonable, 547
dining, 541
yummy, 539
disappointed, 539
Phoenix, 535
pot, 535
review, 532
probably, 526
least, 524
real, 516
specials, 516
One, 504
pepper, 504
veggies, 502
Mongolian, 502
